requirement,implemented file,relevant line or section,automated test,status,notes
"The three supplied protocol documents are stored separately","docs/research_reset_protocol_v1.md; docs/repository_migration_plan.md; docs/eligibility_audit_plan.md","Top-level titles and numbered sections","GovernanceTests.test_protocol_documents_have_expected_topology",implemented,"Topology is automated; normalized source equality was manually checked during Phase 1 and is not claimed as a repeatable repository-only test"
"README limits the current work to research foundation phases","README.md","Current scope","GovernanceTests.test_readme_scope_is_phase_limited",implemented,"The test checks both authorized and prohibited scope statements"
"Repository skeleton and package metadata exist","pyproject.toml; src/vitaldb_state_selection; configs; docs; schemas; tests; data; outputs","Repository root and package directories","GovernanceTests.test_repository_skeleton_and_warning_documents_exist",implemented,"Only tracked placeholders exist in data and outputs"
"Large data checkpoints and generated outputs are excluded from Git",".gitignore","Raw and derived research data; model and experiment artifacts","GovernanceTests.test_gitignore_blocks_research_artifacts_but_not_manifests",implemented,"Small manifests remain eligible for version control"
"The repository has an executable test command","README.md; tests/test_governance.py","Quick checks; GovernanceTests","GovernanceTests.test_pyproject_declares_runtime_contract",implemented,"Uses standard unittest discovery; third-party runtime dependencies are declared"
"Legacy 98-case limitations are explicit","docs/legacy_98case_statement.md","Legacy 98-case Statement","GovernanceTests.test_repository_skeleton_and_warning_documents_exist",implemented,"Warning covers non-random sampling confirmatory limits inspected test and reconstructed environment"
"Claims do not describe an exact unpublished-code reproduction","docs/claim_boundary.md; docs/legacy_98case_statement.md","Claim Boundary; Legacy 98-case Statement","GovernanceTests.test_repository_skeleton_and_warning_documents_exist",implemented,"This verifies repository wording not scientific truth"
"Migration provenance has the required fields","docs/migration_provenance.csv","CSV header","GovernanceTests.test_migration_provenance_contract_is_exact",implemented,"Rows are intentionally absent until Phase 2 classification"
"Manifest schemas are syntactically valid JSON Schema","schemas/eligibility_manifest.schema.json; schemas/download_manifest.schema.json; schemas/signal_quality_manifest.schema.json","Schema roots and caseid constraints","GovernanceTests.test_json_schemas_are_valid_and_reject_invalid_identity",implemented,"Runtime manifest validation remains Phase 3 work"
"Quality thresholds are not assigned by code convenience","configs/eligibility_audit.yaml","quality_thresholds","GovernanceTests.test_audit_config_has_full_range_and_no_decided_thresholds",blocked_by_protocol,"Every numerical threshold is null and marked pending_human_review"
"Only explicitly protocol-approved track aliases are active","configs/track_aliases.yaml","aliases and pending_concepts","GovernanceTests.test_only_explicit_protocol_aliases_are_active",implemented,"New aliases require human review"
"Protocol v1.1 human approval fixes exact drug-rate labels, units, and concentrations","configs/track_aliases.yaml; docs/protocol_v1_1_decision_record.md","aliases; Exact track and unit decisions","EligibilityAuditTests.test_protocol_v1_1_track_units_are_human_validated",implemented,"PPF20_RATE is mL/hr at propofol 20 mg/mL and RFTN20_RATE is mL/hr at remifentanil 20 mcg/mL; RFTN50 is not merged or used"
"Legacy data split scaler checkpoint result and prediction artifacts are absent",".gitignore; data/manifests/.gitkeep; outputs/.gitkeep","Artifact ignore rules and placeholders","GovernanceTests.test_git_index_contains_no_data_dependent_artifacts",implemented,"The test inspects the Git index; Phase 2 inventory will separately classify legacy tracked artifacts"
"PK-PD prediction feature-selection and PPO implementations are not run or migrated","src/vitaldb_state_selection/pkpd/__init__.py; src/vitaldb_state_selection/prediction/__init__.py; src/vitaldb_state_selection/selection/__init__.py; src/vitaldb_state_selection/rl/__init__.py","Blocked package placeholders","GovernanceTests.test_blocked_research_packages_have_no_executable_implementation",blocked_by_protocol,"The test proves only that these packages contain no executable implementation at Phase 1"
"Phase failures record evidence instead of being hidden","PHASE_STATUS.md","Failure record template","GovernanceTests.test_phase_status_has_gate_and_failure_record_contract",implemented,"Actual failures must append a filled record"
"Every phase passes tests and self-review before advancing","PHASE_STATUS.md","Phase table and gate preamble","GovernanceTests.test_phase_status_has_gate_and_failure_record_contract",implemented,"The test verifies the gate contract only; executed test counts and manual self-review evidence are recorded per phase"
"Each phase is committed independently and pushed to origin main","PHASE_STATUS.md","Publication constraint and Phase 4 publication verification","",pending,"Phase commit SHAs were manually verified against the remote but external remote state has no honest repository-only automated test so this row remains pending"
"The legacy repository remains read-only","","","",pending,"Requires process and Git status evidence; not automatable from the new repository alone"
"Every legacy tracked file is classified before any code migration","docs/migration_provenance.csv; docs/legacy_source_snapshot.json","352 inventory rows and source snapshot","MigrationInventoryTests.test_inventory_has_exact_snapshot_coverage",implemented,"All tracked paths at source commit 9501b16 are present exactly once"
"Every migration row records source path commit SHA type dependency and tests","docs/migration_provenance.csv","All inventory rows","MigrationInventoryTests.test_every_row_has_complete_allowed_classification",implemented,"Non-rejected candidates remain pending revalidation"
"Migration type is one of copy refactor rewrite or reject","docs/migration_provenance.csv","migration_type column","MigrationInventoryTests.test_every_row_has_complete_allowed_classification",implemented,"No file is classified copy before independent revalidation"
"No legacy source code is copied before migration inventory completion","docs/migration_inventory_summary.md; tests/test_migration_inventory.py","Boundary; PHASE2_ALLOWED_FILES","MigrationInventoryTests.test_phase2_commit_contains_inventory_only",implemented,"Phase 2 diff is restricted to inventory documentation status and tests"
"Production audit configuration covers case IDs 1 through 6388","configs/eligibility_audit.yaml","expected_case_range","GovernanceTests.test_audit_config_has_full_range_and_no_decided_thresholds",implemented,"This validates configuration only not API completeness"
"Production code rejects first-N and arbitrary case limits","configs/eligibility_audit.yaml; src/vitaldb_state_selection/cohort/guards.py; src/vitaldb_state_selection/provenance/source_guard.py; scripts/verify_no_first_n_limit.py","Runtime and AST guards","FirstNGuardTests.test_production_source_guard_script_passes",implemented,"Engineering dry-run sampling is isolated from production entry points"
"All 6388 production cases receive exactly one manifest row","src/vitaldb_state_selection/cohort/eligibility.py; schemas/eligibility_manifest.schema.json; data/manifests/all_case_eligibility_manifest.csv","build_eligibility_records and actual Phase 5A manifest","FullMetadataAuditArtifactTests.test_manifest_has_exact_full_accounting_and_pending_decisions",implemented,"The actual production metadata manifest contains case IDs 1 through 6388 exactly once"
"Duplicate and missing case IDs fail validation","src/vitaldb_state_selection/cohort/guards.py; src/vitaldb_state_selection/cohort/eligibility.py","assert_manifest_complete; explicit failure rows","FirstNGuardTests.test_manifest_duplicate_and_missing_ids_are_rejected",implemented,"Missing source cases remain rows while malformed output manifests fail"
"Clinical metadata and track inventory are parsed for every case","src/vitaldb_state_selection/cohort/clinical_metadata.py; src/vitaldb_state_selection/cohort/track_inventory.py; data/manifests/metadata_audit_summary.json","parse_clinical_row; index_track_rows; actual Phase 5A counts","FullMetadataAuditArtifactTests.test_summary_recomputes_from_the_full_manifest",implemented,"All 6388 cases have clinical and track inventory source rows; ASA is missing in 133 cases and other reported clinical fields are complete"
"Download failures remain explicit manifest rows","src/vitaldb_state_selection/data/downloader.py; schemas/download_manifest.schema.json","DownloadManifestStore.initialize; DownloadOrchestrator.run","DownloaderTests.test_failure_case_remains_in_manifest",implemented,"All request rows are flushed before the first attempt"
